arm,clients,tps,mean_latency_ms,p99_latency_ms,transactions
baseline,1,653.824933,1.529,4.736,19614
baseline,8,1702.922226,4.698,9.198,51085
baseline,32,6049.077071,5.290,8.530,181458
baseline,64,9634.825390,6.643,13.866,288896
arm_a,1,275.306305,3.632,7.646,8259
arm_a,8,460.707819,17.365,90.306,13830
arm_a,32,285.034916,112.267,475.437,8573
arm_a,64,499.546050,128.116,805.871,15070
arm_b_const,1,293.255718,3.410,7.400,8799
arm_b_const,8,339.704178,23.550,42.224,10195
arm_b_const,32,554.912584,57.667,137.081,16686
arm_b_const,64,327.162697,195.621,286.966,9863
arm_b_tag,1,294.055287,3.401,7.818,8822
arm_b_tag,8,1427.028479,5.606,10.735,42803
arm_b_tag,32,6380.174499,5.016,8.956,191417
arm_b_tag,64,10061.848743,6.361,12.021,301668
arm_c,1,297.583411,3.360,7.710,8927
arm_c,8,1546.969031,5.171,9.379,46411
arm_c,32,6189.680834,5.170,8.118,185659
arm_c,64,6601.932501,9.694,40.503,197982
baseline_last,1,243.131137,4.113,18.229,7294
baseline_last,8,1252.427391,6.388,25.310,37570
baseline_last,32,3508.904484,9.120,39.810,105236
baseline_last,64,3257.445507,19.647,60.547,97530
