seq,arm,clients,tps,mean_latency_ms,p99_latency_ms,transactions
1,baseline,1,606.725968,1.648,10.540,18201
2,arm_a,1,335.956426,2.977,17.004,10066
3,baseline,1,163.905753,6.101,25.878,4918
4,arm_b_const,1,352.640645,2.836,7.566,10579
5,baseline,1,301.901379,3.312,7.763,9057
6,arm_b_tag,1,302.807772,3.302,7.886,9084
7,baseline,1,478.330129,2.091,7.076,14350
8,arm_c,1,315.007655,3.175,6.794,9450
9,baseline,1,525.223425,1.904,5.258,15756
10,baseline,8,1580.339017,5.062,8.955,47406
11,arm_a,8,821.615778,9.737,57.675,24649
12,baseline,8,1514.726893,5.281,10.092,45439
13,arm_b_const,8,373.951308,21.393,36.663,11225
14,baseline,8,1516.899687,5.274,10.622,45502
15,arm_b_tag,8,1492.021711,5.362,10.614,44758
16,baseline,8,1511.041665,5.294,10.225,45329
17,arm_c,8,1497.955951,5.341,10.451,44931
18,baseline,8,1507.176412,5.308,10.333,45217
19,baseline,32,6653.332399,4.810,7.354,199576
20,arm_a,32,455.179742,70.302,549.989,13659
21,baseline,32,6881.741804,4.650,7.032,206753
22,arm_b_const,32,358.032118,89.377,152.714,10766
23,baseline,32,6807.112356,4.701,7.013,204166
24,arm_b_tag,32,6562.679859,4.876,8.667,196841
25,baseline,32,6742.034922,4.746,7.331,202156
26,arm_c,32,6870.613252,4.658,7.043,206094
27,baseline,32,6791.061791,4.712,7.163,203611
28,baseline,64,11002.492938,5.817,9.676,329880
29,arm_a,64,674.068698,94.946,604.863,20342
30,baseline,64,10684.671095,5.990,10.382,320561
31,arm_b_const,64,369.312795,173.295,243.355,11141
32,baseline,64,12026.225593,5.322,9.133,360719
33,arm_b_tag,64,10607.476938,6.033,11.770,318118
34,baseline,64,10675.619558,5.995,10.371,320189
35,arm_c,64,11245.441440,5.691,9.869,337328
36,baseline,64,11248.259845,5.690,9.332,337337
