clients,arm,tps,tps_ratio_to_baseline,p99_ms,p99_ratio_to_baseline,bracketing_baseline_tps,baseline_drift_at_this_level
1,arm_a,336.0,0.872,17.00,0.93,385.3,3.70x
1,arm_b_const,352.6,1.514,7.57,0.45,232.9,3.70x
1,arm_b_tag,302.8,0.776,7.89,1.06,390.1,3.70x
1,arm_c,315.0,0.628,6.79,1.10,501.8,3.70x
8,arm_a,821.6,0.531,57.67,6.06,1547.5,1.05x
8,arm_b_const,374.0,0.247,36.66,3.54,1515.8,1.05x
8,arm_b_tag,1492.0,0.986,10.61,1.02,1514.0,1.05x
8,arm_c,1498.0,0.993,10.45,1.02,1509.1,1.05x
32,arm_a,455.2,0.067,549.99,76.46,6767.5,1.03x
32,arm_b_const,358.0,0.052,152.71,21.75,6844.4,1.03x
32,arm_b_tag,6562.7,0.969,8.67,1.21,6774.6,1.03x
32,arm_c,6870.6,1.015,7.04,0.97,6766.5,1.03x
64,arm_a,674.1,0.062,604.86,60.31,10843.6,1.13x
64,arm_b_const,369.3,0.033,243.35,24.94,11355.4,1.13x
64,arm_b_tag,10607.5,0.935,11.77,1.21,11350.9,1.13x
64,arm_c,11245.4,1.026,9.87,1.00,10961.9,1.13x
